date,price
2019-01-15,59.41
2019-02-15,63.96
2019-03-15,66.14
2019-04-15,71.23
2019-05-15,71.32
2019-06-15,64.22
2019-07-15,63.92
2019-08-15,59.04
2019-09-15,62.83
2019-10-15,59.71
2019-11-15,63.21
2019-12-15,67.31
2020-01-15,63.65
2020-02-15,55.66
2020-03-15,32.01
2020-04-15,18.38
2020-05-15,29.38
2020-06-15,40.27
2020-07-15,43.24
2020-08-15,44.74
2020-09-15,40.91
2020-10-15,40.19
2020-11-15,42.69
2020-12-15,49.99
2021-01-15,54.77
2021-02-15,62.28
2021-03-15,65.41
2021-04-15,64.81
2021-05-15,68.53
2021-06-15,73.16
2021-07-15,75.17
2021-08-15,70.75
2021-09-15,74.49
2021-10-15,83.54
2021-11-15,81.05
2021-12-15,74.17
2022-01-15,86.51
2022-02-15,97.13
2022-03-15,117.25
2022-04-15,104.58
2022-05-15,113.34
2022-06-15,122.71
2022-07-15,111.93
2022-08-15,100.45